Disruption Date/Time,Location,Type,Description,Cause,Closed Date,User,NAVCEN,local_date,location_country_state_or_detail,location_country_state_or_locode,user_country_state_or_detail,user_country_state_or_locode,coalesce,coalesced_country
03/01/2020 12 PST,"Bothell, WA",Automobile,"User: Greetings, pretty much the whole year I need to recalibrate maps every ten minutes to get a good gps signal. My job requires it as I will not receive offers with a weak signal. I have purchased 2 different phones within the last year to fix the issue but it is still present. I work mostly in Woodinville, Bothell, Kirkland and Redmond Washington. Multiple people said they are experiencing the same issue and it is strange because I heard space x recently placed another satellite into orbit for Washington state. Thanks for all that you do. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other agencies or users. Recommend contacting manufacturer for assistance.",User Equipment,10/06/2020,"User: Greetings, pretty much the whole year I need to recalibrate maps every ten minutes to get a good gps signal. My job requires it as I will not receive offers with a weak signal. I have purchased 2 different phones within the last year to fix the issue but it is still present. I work mostly in Woodinville, Bothell, Kirkland and Redmond Washington. Multiple people said they are experiencing the same issue and it is strange because I heard space x recently placed another satellite into orbit for Washington state. Thanks for all that you do. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other agencies or users. Recommend contacting manufacturer for assistance.",2020-03-01,US YTH,US WA,US WDV,US WA,US YTH,US
02/20/2020 4pm EST,Dulles Airport,Automobile,"USER: This occurred in Chantilly, VA around 4pm EST. I was on Rt. 50 heading East near Avion Pkwy close to Dulles Airport. The GPS navigation in my vehicle stopped working. When I looked for more information in the GPS it displayed no bars for a GPS satellite signal. This outage continued until the end of my trip in Reston, VA. I made two attempts to turn off my vehicle and restart the navigation during the trip, but this did not work to restart my GPS navigation. It was when I stopped the vehicle, stopped the engine, and got out of my car for 10-15 minutes that the GPS system resumed activity. I hope this is just an anomaly, however being so close to airport, I have to wonder if something else was occurring at the time. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other users or interagency partners. NAVCEN requested additional information about the equipment, if issue is on going, or actions taken to correct the problem. There was no response to our request for additional information.",Insufficient Information,03/09/2020,"USER: This occurred in Chantilly, VA around 4pm EST. I was on Rt. 50 heading East near Avion Pkwy close to Dulles Airport. The GPS navigation in my vehicle stopped working. When I looked for more information in the GPS it displayed no bars for a GPS satellite signal. This outage continued until the end of my trip in Reston, VA. I made two attempts to turn off my vehicle and restart the navigation during the trip, but this did not work to restart my GPS navigation. It was when I stopped the vehicle, stopped the engine, and got out of my car for 10-15 minutes that the GPS system resumed activity. I hope this is just an anomaly, however being so close to airport, I have to wonder if something else was occurring at the time. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other users or interagency partners. ",2020-02-20,US LLH,,US VA,US VA,US LLH,US
02/17/2020 1900 EST,Rehoboth MA,Automobile,"USER: Position shown on maps was off by approximately .5 mile to the west. Also had same occurrence last night while in the same general area. When I noticed the issue on my Nav radio, I checked location on my iPhone and it was consistent with the radio in showing the wrong location. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other users or interagency partners. NAVCEN requested additional information about the equipment, if issue is on going, or actions taken to correct the problem. There was no response to our requests for additional information.",Unknown Interference,03/09/2020,"USER: Position shown on maps was off by approximately .5 mile to the west. Also had same occurrence last night while in the same general area. When I noticed the issue on my Nav radio, I checked location on my iPhone and it was consistent with the radio in showing the wrong location. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other users or interagency partners. ",2020-02-17,US RZX,US MA,,,US RZX,US
02/12/2020 23:45 UTC,Worldwide,Other,"User: In February 2020 (Feb 12th, 13th, 15th and 16th), PRN19 has broadcast several ephemeris and clock data set with the same IODC, although the data was different. This does not respect the IODC repetition rule in §20.3.4.4 of IS-GPS-200. NAVCEN: The GPS Operations Center reported that the cause of the IODC repetition error was the result of an issue experienced with the ground control system. The problem has been corrected.",ICD_Violation,06/16/2020,"User: In February 2020 (Feb 12th, 13th, 15th and 16th), PRN19 has broadcast several ephemeris and clock data set with the same IODC, although the data was different. This does not respect the IODC repetition rule in §20.3.4.4 of IS-GPS-200. ",: The GPS Operations Center reported that the cause of the IODC repetition error was the result of an issue experienced with the ground control system. The problem has been corrected.,2020-02-12,HU OER,,,,HU OER,HU
01/20/2020 10:30pm EST,"Gibsonton, FL",Automobile,"User: I was driving following my GPS when all of sudden it lost GPS signal on the highway. I checked my vehicles GPS also and it could not lock on to me. It finally returned after about 20 mins but something must have knocked it out. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other users or interagency partners. NAVCEN recommends continuing to notify us if symptoms in the area continue.",Unknown Interference,02/25/2020,User: I was driving following my GPS when all of sudden it lost GPS signal on the highway. I checked my vehicles GPS also and it could not lock on to me. It finally returned after about 20 mins but something must have knocked it out. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other users or interagency partners. ",2020-01-20,US AEF,US FL,,,US AEF,US
01/14/2020 8:00 Puerto Rico and US Virgin Islands Time,Paso Palma,,"User: My GPS position is changing. Beginning on 1-14-2020 almost every day, why is that? I measure from the same point at my home. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other users or interagency partners.  We recommend user ensure equipment software is up-to-date, refer to your equipment manual, or contact your equipment manufacturer for further assistance. NAVCEN requested additional information about the equipment, if issue is on going, or actions taken to correct the problem. There was no response to our requests for additional information.",Insufficient Information,02/25/2020,"User: My GPS position is changing. Beginning on 1-14-2020 almost every day, why is that? I measure from the same point at my home. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other users or interagency partners.  We recommend user ensure equipment software is up-to-date, refer to your equipment manual, or contact your equipment manufacturer for further assistance. ",2020-01-14,BR PLX,,,,BR PLX,BR
01/13/2020 0640 UTC,"BARCELONA, SPAIN",Marine,"User: We were alongside in Barcelona same day from 12:18 till 16:23 UTC. We just restarted both units without any success - NOT SAFE -indication persists. During our stay alongside it was brief moments when NO FIX was displayed. DOP at not very high levels (1.7 / 3.0)  In GPS manual it says that if DOP is close to level 6 the GPS will show 2D position, only. My portable GPS receiver (Garmin / hand-held) set on GPS satellites shows correct positon (checked alongside) and has No. 5 /13 /15 / 17 /20 / 21/ 24 /28 /30 /38 satellites locked - no.7 and 19 on sight I hope our answers will help you !. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other users or interagency partners. User encouraged to contact their equipment manufacturer for assistance. NAVCEN requested additional information, including any information from their equipment manufacturer. Update: User worked with the equipment manufacturer conducted a reset procedure and checked settings, operations back to normal.",User Equipment,01/28/2020,"User: We were alongside in Barcelona same day from 12:18 till 16:23 UTC. We just restarted both units without any success - NOT SAFE -indication persists. During our stay alongside it was brief moments when NO FIX was displayed. DOP at not very high levels (1.7 / 3.0)  In GPS manual it says that if DOP is close to level 6 the GPS will show 2D position, only. My portable GPS receiver (Garmin / hand-held) set on GPS satellites shows correct positon (checked alongside) and has No. 5 /13 /15 / 17 /20 / 21/ 24 /28 /30 /38 satellites locked - no.7 and 19 on sight I hope our answers will help you !. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other users or interagency partners. User encouraged to contact their equipment manufacturer for assistance. ",2020-01-13,ES,ES B,,,ES,ES
01/02/2020 02:00 Near East Time,"Dubai, UAE",Communications,"User: At around 2AM(GMT+4) 2nd Jan 2020, around 100 outdoor wireless broadband CPEs started reporting loss of GPS satellites. GPS synchronization is necessary for our radio devices which kept dropping link as a result for 8-10 hours due to GPS receiver switching between GPS lock and satellites lost(very low SNR). The units were rebooted and everything got back to normal immediately. Everything seems to be running fine for past 36 hours since the reboot. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. This report correlates with U.S. Maritime Advisory 2019-012 Persian Gulf, Strait of Hormuz, Gulf of Oman, Arabian Sea, Red Sea-Threats to Commercial Vessels by Iran. You can find the full text on the MSCI Portal. User encouraged to report the issue to the nearest communication authority. NAVCEN requested any additional information, including communication authority response details. Reporting source did not respond.",Unknown Interference,01/28/2020,"User: At around 2AM(GMT+4) 2nd Jan 2020, around 100 outdoor wireless broadband CPEs started reporting loss of GPS satellites. GPS synchronization is necessary for our radio devices which kept dropping link as a result for 8-10 hours due to GPS receiver switching between GPS lock and satellites lost(very low SNR). The units were rebooted and everything got back to normal immediately. Everything seems to be running fine for past 36 hours since the reboot. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. This report correlates with U.S. Maritime Advisory 2019-012 Persian Gulf, Strait of Hormuz, Gulf of Oman, Arabian Sea, Red Sea-Threats to Commercial Vessels by Iran. You can find the full text on the MSCI Portal. User encouraged to report the issue to the nearest communication authority. ",2020-01-02,AE DXB,AE DU,,,AE DXB,AE
01/01/2020 00 Argentina Standard Time,CABA,Other,"User: When the equipment tries to establish a GPS link, when it reaches 80%, the controller indicates ""Calibration Error In The Compass, See Another Place or Calibrate It Again"", if you try to recalibrate the compass the screen indicates "" Do Not Know You Can Calibrate The Compass Without GPS"" and this is a vicious circle regardless of where you try to perform the operation. From the little I found on the web, the problem occurs ""Worldwide"", which rules out an inconvenience in my teams or even more in my country. By way of verification, I share a link with manifests from hundreds of users from all over the world with the same inconvenience. Could you please give me some information about it? Thank you in advance and have a nice day. https://community.gopro.com/t5/Karma/Karma-won-t-start-amp-compass-calibration-failed-no-gps-signal/td-p/488828 "" NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other interagency partners. There is a known issue with how the equipment handled the updated GPS week number value. NAVCEN recommended user to contact the manufacturer for additional assistance.",User Equipment,01/28/2020,"User: When the equipment tries to establish a GPS link, when it reaches 80%, the controller indicates ""Calibration Error In The Compass, See Another Place or Calibrate It Again"", if you try to recalibrate the compass the screen indicates "" Do Not Know You Can Calibrate The Compass Without GPS"" and this is a vicious circle regardless of where you try to perform the operation. From the little I found on the web, the problem occurs ""Worldwide"", which rules out an inconvenience in my teams or even more in my country. By way of verification, I share a link with manifests from hundreds of users from all over the world with the same inconvenience. Could you please give me some information about it? Thank you in advance and have a nice day. https://community.gopro.com/t5/Karma/Karma-won-t-start-amp-compass-calibration-failed-no-gps-signal/td-p/488828 "" ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other interagency partners. There is a known issue with how the equipment handled the updated GPS week number value. ",2020-01-01,SK CAB,FJ 01,,,SK CAB,SK
01/01/2020 19:00 PST,"Lancaster CA, Hwy CA-14 crossing Ave J",Transportation,"User: This location, on CA-14 northbound crossing over Ave J in Lancaster CA has a permanent disruption of GPS reception noticed over 6 months, driving daily in early evening and late evening, and is detected by 2 separate models of Garmin automotive GPS units. There is no overhead signage that could cause a drop out. The drop out and loss of reception covers a span of approximately 200-300 yards centered on the Ave J overpass. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other agencies or users. Investigation ongoing, NAVCEN will provide updates as new information becomes available.",Insufficient Information,07/30/2020,"User: This location, on CA-14 northbound crossing over Ave J in Lancaster CA has a permanent disruption of GPS reception noticed over 6 months, driving daily in early evening and late evening, and is detected by 2 separate models of Garmin automotive GPS units. There is no overhead signage that could cause a drop out. The drop out and loss of reception covers a span of approximately 200-300 yards centered on the Ave J overpass. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other agencies or users. Investigation ongoing, ",2020-01-01,US CA,US CA,US CA,US CA,US CA,US
12/28/2019 0001 EEST,Tripoli Libya,Other,"User: Our vessel is underway from Greece to Tripoli Libya. When our vessel is at 50nm from Libyan Port. Disruption or interference of GPS Signal started and both GPS receiver is affected. We reboot our GPS but still the disruption still exist, despite of how many times we reboot our equipment. Until we arrived at Tripoli Port interference still exist with an interval of 20-30secs GPS Lost signal again. We stayed at anchor for 2days already and yet no improvement of the disruption and it continues everyday. It is not the 1st time it happened but every time we are inside of 50nm from Tripoli Libya. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. This report correlates with the U.S. Maritime Advisory concerning GPS Interference in the Mediterranean on the MSCI Portal. User encouraged to report the issue to the nearest communication authority. NAVCEN requested any additional information, including communication authority response details. Reporting source did not respond.",Unknown Interference,01/28/2020,"User: Our vessel is underway from Greece to Tripoli Libya. When our vessel is at 50nm from Libyan Port. Disruption or interference of GPS Signal started and both GPS receiver is affected. We reboot our GPS but still the disruption still exist, despite of how many times we reboot our equipment. Until we arrived at Tripoli Port interference still exist with an interval of 20-30secs GPS Lost signal again. We stayed at anchor for 2days already and yet no improvement of the disruption and it continues everyday. It is not the 1st time it happened but every time we are inside of 50nm from Tripoli Libya. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. This report correlates with the U.S. Maritime Advisory concerning GPS Interference in the Mediterranean on the MSCI Portal. User encouraged to report the issue to the nearest communication authority. ",2019-12-28,LY,LY,GR,GR,LY,LY
12/06/2019 9:00am EST,"Naples, FL Orange Blossom Rd",,User: This entry to the Autumn Woods Association is closed. GPS directs vehicles through this entry and they damage property. The correct entry is Goodlette Frank Road. NAVCEN: User was provided information on how to contact mapping software providers to update their location details.,Mapping Issue,12/20/2019,User: This entry to the Autumn Woods Association is closed. GPS directs vehicles through this entry and they damage property. The correct entry is Goodlette Frank Road. ,: User was provided information on how to contact mapping software providers to update their location details.,2019-12-06,US FL,US FL,,,US FL,US
12/03/2019 20:00 (Arabic) Egypt Standard Time (+2:00),"MELLITAH,LIBYA",Marine,"USER: While approaching Mellitah Port,Libya both GPS lost signal and was showing No fix. GPS was receving Signal Intermeditely and again losing at a interval of 5 Minutes. Restarted both GPS,dignosis carried out Still GPS sensor was unable to hold on to Satellies. After anchoring at Melllitah port and after 6 hrs the GPS lost Signal ,On restarting the GPS,No error was showing and Both GPS working Satisfactorly NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. This report correlates with the U.S. Maritime Advisory concerning GPS Interference in the Mediterranean on the MSCI Portal. User encouraged to report the issue to the nearest communication authority. NAVCEN requested any additional information, including communication authority response details. Reporting source did not respond.",Unknown Interference,12/20/2019,"USER: While approaching Mellitah Port,Libya both GPS lost signal and was showing No fix. GPS was receving Signal Intermeditely and again losing at a interval of 5 Minutes. Restarted both GPS,dignosis carried out Still GPS sensor was unable to hold on to Satellies. After anchoring at Melllitah port and after 6 hrs the GPS lost Signal ,On restarting the GPS,No error was showing and Both GPS working Satisfactorly ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. This report correlates with the U.S. Maritime Advisory concerning GPS Interference in the Mediterranean on the MSCI Portal. User encouraged to report the issue to the nearest communication authority. ",2019-12-03,LY,LY,LY,LY,LY,LY
11/29/2019 0730 EST,Baltimore Key Bridge,Transportation,"USER: Use of any application, Waze, Maps, Google Maps could not connect to GPS from the Key bridge to East of the Key bridge. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other users or interagency partners.",User Equipment,12/20/2019,"USER: Use of any application, Waze, Maps, Google Maps could not connect to GPS from the Key bridge to East of the Key bridge. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other users or interagency partners.",2019-11-29,IE BTM,MD BA,,,IE BTM,IE
11/25/2019 1000 EEST,Misurata libya,Marine,"USER: Before arrival to Misurata Port, Libya about 15nm from shore DGPS signal becomes intermmitent. Until arrival to anchorage to port. We stayed 72hours on port and DGPS Signal still lost. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. This report correlates with the U.S. Maritime Advisory concerning GPS Interference in the Mediterranean on the MSCI Portal. User encouraged to report the issue to the nearest communication authority. NAVCEN requested any additional information, including communication authority response details. Reporting source did not respond.",Unknown Interference,12/20/2019,"USER: Before arrival to Misurata Port, Libya about 15nm from shore DGPS signal becomes intermmitent. Until arrival to anchorage to port. We stayed 72hours on port and DGPS Signal still lost. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from interagency partners. This report correlates with the U.S. Maritime Advisory concerning GPS Interference in the Mediterranean on the MSCI Portal. User encouraged to report the issue to the nearest communication authority. ",2019-11-25,LY MRA,LY,LY,LY,LY MRA,LY
11/08/2019 10:30 am PST,Santa Ana - downtown,Communications,"USER: For the day, the compass apps on the iphones, and the Garmin were all at about 93 ft accuracy. Usually all are at +/- 20. Navigation app kept losing us, sending us in circles, etc. The geocaching app on the phones also sent us in circles, with only +/- 93 ft accuracy. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other users or interagency partners. Many times in a downtown area when GPS does not have a clear sky view multipath errors are possible and likely. These errors can often cause both position and speed errors. We always recommend you ensure your equipment software is up to date, refer to your equipment manual or contact your manufacturer for further assistance.",Other,01/28/2020,"USER: For the day, the compass apps on the iphones, and the Garmin were all at about 93 ft accuracy. Usually all are at +/- 20. Navigation app kept losing us, sending us in circles, etc. The geocaching app on the phones also sent us in circles, with only +/- 93 ft accuracy. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other users or interagency partners. Many times in a downtown area when GPS does not have a clear sky view multipath errors are possible and likely. These errors can often cause both position and speed errors. We always recommend you ensure your equipment software is up to date, refer to your equipment manual or contact your manufacturer for further assistance.",2019-11-08,AR SAN,SV SA,,,AR SAN,AR
11/07/2019 8:47 EST,"Litchfield, CT",Automobile,"USER: Was trying to get directions to North Haven, CT. Was told by apple maps and google maps that the address is not routable from this location tried many different other addresses, all with the same result. Powered off phone, powered back on, same result. Around 9:10 it started working again. Above times are times I am certain it was not working. This is the first time GPS has not worked for me. There is nothing wrong with the phone that I can tell, it is fully updated, had a full battery charge, was plugged into the charger in the car regardless. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other interagency partners. NAVCEN can not verify function of applications or network service provider. We recommend letting your provider know about the issues you are experiencing.",User Equipment,11/27/2019,"USER: Was trying to get directions to North Haven, CT. Was told by apple maps and google maps that the address is not routable from this location tried many different other addresses, all with the same result. Powered off phone, powered back on, same result. Around 9:10 it started working again. Above times are times I am certain it was not working. This is the first time GPS has not worked for me. There is nothing wrong with the phone that I can tell, it is fully updated, had a full battery charge, was plugged into the charger in the car regardless. ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other interagency partners. ",2019-11-07,US CT,US CT,,,US CT,US
11/04/2019 12:00am Mountain Standard Time,Mesa,Transportation,USER: I have had a disruption to all of my mail service. I do not know if there was a recent update to the GPS system. I have ordered packages from 4 different sources 2 of which I previously ordered from and had no issues. For some reason the Unit number sometimes shown in forms as Apartment is not coming up correctly and all of my packages are being returned. One of the companies I ordered from told me that the Unit number is showing as part of the street address. Was there a recent update that is causing this. I have had no problems with delivery up until the first of November. NAVCEN: User provided information on how to contact mapping software providers to update their location details,Mapping Issue,11/27/2019,USER: I have had a disruption to all of my mail service. I do not know if there was a recent update to the GPS system. I have ordered packages from 4 different sources 2 of which I previously ordered from and had no issues. For some reason the Unit number sometimes shown in forms as Apartment is not coming up correctly and all of my packages are being returned. One of the companies I ordered from told me that the Unit number is showing as part of the street address. Was there a recent update that is causing this. I have had no problems with delivery up until the first of November. ,: User provided information on how to contact mapping software providers to update their location details,2019-11-04,US MQA,,,,US MQA,US
11/03/2019 2:20 (Arabic) Egypt Standard Time (+2:00),saudi arabia,Automobile,"USER: Thousands of vehicle tracking GPS devices stopped detecting the GPS signal at the same time. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other interagency partners. NAVCEN spoke with the equipment manufacturer and they stated that it is associated with the week number rollover and are working with customers. NAVCEN recommended user to contact the manufacturer for additional assistance.",User Equipment,11/27/2019,USER: Thousands of vehicle tracking GPS devices stopped detecting the GPS signal at the same time. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other interagency partners. ",2019-11-03,SA,SA,,,SA,SA
10/25/2019 7 AM EST,Delray Beach,Automobile,"USER: Vehicle Nav was unable to connect intermittently. NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other interagency partners. Reporting source stated he had GPS on another mobile device. Recommend user to contact the manufacturer for additional assistance.",User Equipment,11/27/2019,USER: Vehicle Nav was unable to connect intermittently. ,": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other interagency partners. Reporting source stated he had GPS on another mobile device. Recommend user to contact the manufacturer for additional assistance.",2019-10-25,US DEY,FJ 11,,,US DEY,US
10/22/2019 0940 (Arabic) Egypt Standard Time (+2:00),Port Suez,Marine,"USER: While approaching Suez anchorage area at 0940 LT ( 1140 UTC/22-Oct-19 ) about 29 37.4N 032 33.7E POSN , GPS interference detected in both GPS . V/l GPS malfunctioned and BOTH GPS showed error no. 212 in alarm window , Loss of position , NO FIX. As per Makers manual GPS error Reason : Interfering object between satellite and GPS receiver . Vsl called nearby vsls in vicinity to confirm if they also received the same error , Vsl STI ELYSSES replied even they got the same error for GPS . Vessel GPS operationalizes when vessel entered Suez Canal at 1105 LT (0905 UTC) / 23-Oct-19 at 29-56.5 N /032-34.3 E NAVCEN: The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other users or interagency partners. This report correlates with the U.S. Maritime Advisory concerning GPS Interference in the Mediterranean on the MSCI Portal. User encouraged to report the issue to the nearest communication authority. NAVCEN requested any additional information, including communication authority response details. Reporting source has not responded",Unknown Interference,11/27/2019,"USER: While approaching Suez anchorage area at 0940 LT ( 1140 UTC/22-Oct-19 ) about 29 37.4N 032 33.7E POSN , GPS interference detected in both GPS . V/l GPS malfunctioned and BOTH GPS showed error no. 212 in alarm window , Loss of position , NO FIX. As per Makers manual GPS error Reason : Interfering object between satellite and GPS receiver . Vsl called nearby vsls in vicinity to confirm if they also received the same error , Vsl STI ELYSSES replied even they got the same error for GPS . Vessel GPS operationalizes when vessel entered Suez Canal at 1105 LT (0905 UTC) / 23-Oct-19 at 29-56.5 N /032-34.3 E ",": The GPS Operations Center reviewed the GPS Constellation and Control Segment, there are no known anomalies that might affect GPS signal integrity at the time and vicinity of the reported problem. Space weather was reviewed and found unlikely to have impacted GPS performance. There were no authorized GPS tests in the area. No correlating reports from other users or interagency partners. This report correlates with the U.S. Maritime Advisory concerning GPS Interference in the Mediterranean on the MSCI Portal. User encouraged to report the issue to the nearest communication authority. ",2019-10-22,CH POT,,,,CH POT,CH
